,Unnamed: 0,cool,date,eliteStatus,friends,funny,location,name,phone,ratings,review,reviewHistory,useful,userlink,username
19443,0,1.0,1/3/2016,,189,1.0,"Morganville, NJ",Sik Gaek Chun Ha,7183217770,4.0 star rating,"I want to rate this place a 3.5 but 4 will do just nicely. For cold winter chills, this place has a nice rambunctious vibe to just sit and enjoy large quantities of seafood with friends and family. This Korean restaurant I believe this is the original establishment, while the other one is in Woodside. We ordered the seafood hot pot($$$), where there was a variety of steam seafood being infused by boiling broth underneath the seafood. When I said variety, I mean the cast of the Little Mermaid from, ""Under the Sea scene,"" were taken from the ocean and they are now on the table. Oh what poor unfortunate souls. The seafood was overall average, there some seafood that were overcooked and become tasteless, while other part of the seafood galore was fantastic. It was like playing heads or tails with your taste buds. However, the broth was overall my favorite part of it. With the flavors of the sea being brewed it was a symphony of the sea with every spoonful. Beside the hot pot, we also order live cut up octopus, which was an interesting situation. If you do not like squishy texture or food that fights back........please don't order it, it may not be worth the price or your mouth. As for the drinks the watermelon soju was very refreshing and made the meal very sweet. Overall, if you have a big group who are not afraid of seeing live seafood being cooked, please come and try this place out.",63,1.0,/user_details?userid=lsnImU4XHvOSRZqc11_PoQ,Philip L.
19444,1,1.0,11/29/2015,,92,1.0,"Kew Gardens, NY",Sik Gaek Chun Ha,7183217770,4.0 star rating,Came across this restaurant by accident. After walking around looking for a restaurant that makes bibambap. We settled for Korean BBQ and I'm already making plans on returning. One thing to know: when you get seated eggs will be made at your table as soon as you sit down. Just like other Korean spots you receive small dishes to share. The kimchi here was superb here.Maybe because it was a really busy Saturday night we did not cook the meat ourselves. But that was ok for the group I was with because we were staving. I was a bit shy but I should have asked for more. I highly recommend the short ribs. We received a small cast iron skillets containing the short ribs and sautéed onions. Yum yum! Warning: if you order the spicy marinated pork prepare to cry. It was super spicy but seasoned so well I couldn't stop eating it. The decor is super punk rock with dollars on the wall.,69,2.0,/user_details?userid=TIHyAJK7IwUQheBzEmg3Bg,Tameeka B.
19445,2,,11/27/2015,,62,,"New York, NY",Sik Gaek Chun Ha,7183217770,3.0 star rating,"Went as a group of 3 at around 7:30PM on a Monday. Has a classic Korean drinking place kind of vibe. We ordered a yogurt soju and the Empire Seafood Hot Pot. The yogurt soju was good and strong. But because we didn't finish it that quickly, all the ice melted and that sucked. The banchan (side dishes) are a little lacking, but it's probably because it's a divey-like place. It was a couple of slices of cucumber & carrots with soy bean paste, steamed egg, and ddeokbokki (spicy rice cake). They also fry eggs for you in person - that was cute. The ddeokbokki was really spicy but good. Wish it had been heated up though.The hot pot was huge and looked overwhelming for three girls, but we did a fair share of damage and I'm wondering if it really would be enough for 4-6 people. Maybe if you also ordered something else, it would be enough? The waiter also cuts all the seafood and stuff for you to make the lobster/crab/squid easy to eat.It also gets REALLY salty near the end after the broth really cooks down, so that was a bummer because it was kind of inedible. We only ordered one order of rice to make the fried rice but two would have been a good amount for the 3 of us. The rice was so good - it gets really crispy on the bottom and you get to scrape it off. The hot pot was $100 in itself, so it would make more sense to go with more people. Also, go with more people because I think it would also be nice to not have JUST the hot pot to eat the entire time and be able to order other dishes. We wanted to try the pumpkin dish but it was huge and more than $30 and we knew we would just have a lot of leftovers. I honestly just want to go back and just have the rice...",81,,/user_details?userid=BzRpE01im4SxomAzSO4BCg,Jen P.
19446,3,2.0,11/8/2015,,47,1.0,"St. Albans, NY",Sik Gaek Chun Ha,7183217770,5.0 star rating,"Stumbled in with friends since we had to wait for a spot at Flower nearby. This is a very dope but slightly pricy restaurant. The decor was the first thing I noticed,  very funky with the newspaper articles lining the hall and the wooden tables were the food is prepared in front of you. Other thing was the mixture of trendy Koreans out on a Saturday night and friendly families enjoying themselves. Now for the food, the live octopus was tasty even though I kept fumbling with the chopsticks trying to eat it. I'll humbly take the L for that one lol. Eggs made two different ways, one like a omelet style and the other whipped with sesame oil, the whipped eggs were clutch along with the half shell oysters. The group I was with had a game going where every 5 minutes we had to do a shot of Soju. By the time we left I was stuffed and faded. We had a incredible time, and I'm glad I got to visit my old hood again to try wonderful freshly prepared food.",59,1.0,/user_details?userid=z4utSE6V1rZNrgv5g1ACaA,Montique S.
19447,4,15.0,8/29/2015,,582,14.0,"Queens, NY",Sik Gaek Chun Ha,7183217770,2.0 star rating,"Located on a corner with Welcoming Decor Dim Lighting & Loud Music Blasting, My kind of spot! With a dope staff, why why the food had to be such a disappointment.Watermelon Soju w/ Alcohol $29.00 GARBAGE, don't bother I can drink ten of these & never get a BUZZ, the presentation was Fly served in a actual watermelon shell. Ohhhhh Hell No the *Seafood Hot Pot* was soO bland Dammit tasteless. I used close to a small bowl, worth of dipping sauce. I enjoy Flavor, Spices & everything that taste good, is that toO much toO ask 4.Even the damn complementary eggs were tasteless, the worst part is there was no Salt anywhere to be found!",151,21.0,/user_details?userid=7Khf3OZzmtOhrexNo6CrRg,Steven S.
19448,5,1.0,10/13/2015,,92,,"Queens, NY",Sik Gaek Chun Ha,7183217770,4.0 star rating,We order almost the same items every time we come here.  Not sure if that's a good or bad thing but it's hard to let go of your old favorites!  Sik Gaek is a very popular Korean seafood restaurant with loud Kpop playing in the background.  Their BBQ beef short ribs and thick (better than their thin) pork belly are very juicy and well-marinated.  Seafood pancake and their HOTPOT is also a must.  I also like their watermelon soju because it's weak in alcohol content (waste of money but gotta have that half watermelon to the table) and very tasty.  Great place for groups as long as you're willing to wait!  It starts to get packed after 6:30pm.,410,,/user_details?userid=A08xF_ykmsWQV0ypYA8wkA,Jing X.
19449,6,1.0,11/22/2015,,34,2.0,"Flushing, NY",Sik Gaek Chun Ha,7183217770,5.0 star rating,"YUMYUMM!!!!! Happy Birthday to ME!!!!!!Actually it's more like 4 stars BUT because Im in a very good mood after my bday party there yesterday so I'll give it 5!I recommend you make a reservation especially if you're coming on the weekend or with a large group. I made a reservation for 10 people the day before but still had to wait for 20 mins (minus point). Other than that, it's all great! We ordered a live octopus dish (I've always wanted to try it), a seafood steam pot, an assorted seafood grill, a Galbi (we ended up order two more so that's actually 3), a kimchi fried rice and a soft tofu soup. Oh and watermelon soju of course. There were some side dishes given: egg omellete, tobokki, and steamed egg. Seafood is really fresh and clean. We had great fun trying to pick up those live octopus legs by chopstick. And Galbi is a must omg!!!! Everytime they brought a new Galbi pot to the table we finished it in 2 minutes. Other dishes are pretty good too. Watermelon soju was refreshing and light. Overall we all love the food there. The ambience is casual and fun, exactly what I was looking for to celebrate my Bday (we went to karaoke afterward). We ended up paying around $40 each but it was worth it. Im happy with that spending!",35,2.0,/user_details?userid=FOpNmeo0O-2XrOCSeOpRAA,Hannah V.
19450,7,4.0,7/18/2015,,600,1.0,"Queens, NY",Sik Gaek Chun Ha,7183217770,5.0 star rating,"I didn't know that Bada Story was just serving like only sushi and sashimi. I don't like eating raw fish so we bounced out of Bada Story and into Sik Gaek which I have been DYING to try for years now. It was like a 15-20 mins wait and we were #36. Had a photo shoot by the wings and teddy bear while we waited for our table. I absolutely love the music playing and all my favorites from Jay Park to Big Bang and some others that I don't remember their names. Me and my girlfriends sat at our own corner booth and we all fit on that one bench so its easier to take selfies lol. Our server cracks 3 eggs into a pan and leaves it on the fire then comes over and do a little flip to 'em eggs. Mmmm I love sunny sided up eggs. Food: Japchae with Beef and a Seafood Pancake along with free sides of fried sunny side up eggs, spicy rice cakes with fish cakes, and steamed eggs with scallionsThe portion size is big and enough for the 3 of us which we still end up leaving with a doggy bag. I am soooo happy that I crossed this spot off my bookmarks because I really enjoy the food and atmosphere. Definitely an awesome place to chill with your friends + delicious food + awesome music!",417,4.0,/user_details?userid=6rKtdosDQUptMW3dxHHviQ,Anna H.
19451,8,1.0,12/31/2015,,11,,"Bensonhurst, NY",Sik Gaek Chun Ha,7183217770,4.0 star rating,"It's a really authentic place, so know what you're getting into. It's loud and crowded, but In a good way. The servers have thick accents, so if you speak English only, beware. The food is really good, and the live octopus was great! The wait staff was very attentive, as well. I would come here again!",4,1.0,/user_details?userid=NG5yYDmxeMQqqmp8txhCHw,Phoebe L.
19452,9,11.0,9/23/2015,,300,15.0,"Manhattan, NY",Sik Gaek Chun Ha,7183217770,3.0 star rating,"Sik Gaek and Bada Story are owned by the same people and share a wall. I'd like to describe it as a Korean styled izakaya spot - drinks and munchies. We used to have a Sik Gaek in my town in NJ (specifically, Fort Lee - but that's now Bada Story). This one's almost double the size of the one in Woodside but the food tastes the same. I was so sure that it would be packed at 7pm on hump day- to my pleasant surprise, the place was only 10% filled. Noice.If you want a good heart burn, make sure to order the ones that start out with the word ""spicy."" I really didn't eat much last night because I just am not the Sik Gaek type - if I want izakaya, I'm going all out Japanese tapas. It's also worn down and in dire need of a facelift. I've been to this location many years ago before I was actively Yelping, and I have to say, I felt like it needed a facelift then too! The most interesting thing about this spot? Love the cute wings and teddy bear walls on the outside. I didn't get to take a picture last night because I looked like dirt, but there will be next time - I just won't be eating there. I'll probably go to Jurang across the street instead - their food is superior in my books. I really go for the easygoing ambiance (super duper casual) and soju - LOTS OF SOJU. I've never left a Sik Gaek sober before and I don't plan on breaking that routine. The food was a bit too salty for my taste, as usual. I also just don't trust the ingredients there. I don't touch the complimentary fried eggs, spicy rice cakes or the raw veggies they give you to munch on while waiting for your dishes to arrive. From the run down look to the dusty walls with numerous photos that looked like it survived a war... meh. I've tried about 12 different dishes from the Sik Gaeks I've visited in total, and not one really stuck to me. The watermelon soju is a waste of money - the hell with that. Besides, how do I know they didn't add sugar? If they did, I'd like to know. The bathrooms are always disgusting at every Sik Gaek. Yuck. The toilet to your right when you walk into the women's restroom actually COMES OFF THE FLOOR. No joke, it'll bounce and smack you in the you know where. Yikes!I like the young'n waitstaff - SO left his key on the table and we came back after 2 hours of karaoke and the guy instantly recognized me and told me he ran after us but we were long gone.. Much appreciated!",329,12.0,/user_details?userid=iA6O1iCg8nva02s1ARWvvQ,Shonnie H.
